"coral_tag","host_species","expedition","health_status","max_colony_width"
"217","Pocillopora grandis","2019","dead","NA"
"218","Montipora aequituberculata","2014","alive","22.953"
"218","Montipora aequituberculata","2015c","alive","29.451"
"218","Montipora aequituberculata","2019","dead or gone",NA
"219","Montipora aequituberculata","2014","alive","64.278"
"219","Montipora aequituberculata","2015c","alive","40.11"
"219","Montipora aequituberculata","2019","dead or gone",NA
"220","Montipora aequituberculata","2014","alive","66.902"
"220","Montipora aequituberculata","2019","dead or gone",NA
"221","Montipora aequituberculata","2014","alive",NA
"222","Pocillopora grandis","2014","alive","39.426"
"225","Montipora aequituberculata","2014","alive","51.806"
"225","Montipora aequituberculata","2015c","alive","41.072"
"225","Montipora aequituberculata","2017","dead or gone",NA
"228","Pocillopora grandis","2014","alive","30.709"
"228","Pocillopora grandis","2015c","alive","37.887"
"228","Pocillopora grandis","2017","dead","NA"
"229","Montipora aequituberculata","2014","alive","70.912"
"229b","Montipora aequituberculata","2015c","alive","49.751"
"229b","Montipora aequituberculata","2017","dead",NA
"233","Pocillopora grandis","2014","alive","34.774"
"250","Montipora aequituberculata","2014","alive","32.499"
"251","Pocillopora grandis","2014","alive","23.471"
"252","Montipora aequituberculata","2014","alive","52.052"
"254","Pocillopora grandis","2014","alive","30.769"
"256","Montipora aequituberculata","2014","alive","79.066"
"259","Montipora aequituberculata","2014","alive","8.209"
"261","Pocillopora grandis","2014","alive","34.463"
"262","Montipora aequituberculata","2014","alive","17.953"
"265","Montipora aequituberculata","2014","alive","22.698"
"265","Montipora aequituberculata","2015a","alive","18.289"
"269","Montipora aequituberculata","2014","alive","16.329"
"275","Pocillopora grandis","2014","alive","8.477"
"275","Pocillopora grandis","2016a","dead or gone",NA
"279","Montipora aequituberculata","2014","alive","49.571"
"279","Montipora aequituberculata","2016a","dead",NA
"282","Pocillopora grandis","2014","alive","28.823"
"282","Pocillopora grandis","2016a","dead or gone",NA
"283","Montipora aequituberculata","2014","alive","39.704"
"283","Montipora aequituberculata","2016a","dead or gone",NA
"287","Pocillopora grandis","2014","alive","29.681"
"287","Pocillopora grandis","2016a","dead or gone",NA
"288","Montipora aequituberculata","2014","alive","18.956"
"288","Montipora aequituberculata","2016a","dead or gone",NA
"291","Pocillopora grandis","2014","alive","39.402"
