"library_ID","Clade","Profile","Count","Count_sum","Count_freq","fastq_fwd_file_name","fastq_rev_file_name","host_genus","host_species","coral_tag","site_name","sequencing_run","expedition","sample_name","sra_accession","pub.name","lat","lon","level","continous.pressure.2km","expedition_class"
"KI14FSYM491_S347_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",12406,14192,0.874154453213078,"KI14FSYM491_S347_L001_R1_001.fastq.gz","KI14FSYM491_S347_L001_R2_001.fastq.gz","Pocillopora","grandis","491",32,"run5","2014","KI14_491","SAMN49903963","VH2",1.984,-157.482,5,4860.745702,"1_before"
"KI14FSYM491_S347_L001","D","D1-D17d-D4-D17e-D1r-D17c-D17j-D4c",1786,14192,0.125845546786922,"KI14FSYM491_S347_L001_R1_001.fastq.gz","KI14FSYM491_S347_L001_R2_001.fastq.gz","Pocillopora","grandis","491",32,"run5","2014","KI14_491","SAMN49903963","VH2",1.984,-157.482,5,4860.745702,"1_before"
"609-KI23b_S310_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",9383,11308,0.829766536964981,"609-KI23b_S310_L001_R1_001.fastq.gz","609-KI23b_S310_L001_R2_001.fastq.gz","Pocillopora","grandis","2037",27,"run10_shedd2024","2023b","KI23b_609","SAMN49904278","VH1",2.00973,-157.48941,5,7276,"4_longafter"
"609-KI23b_S310_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",1925,11308,0.170233463035019,"609-KI23b_S310_L001_R1_001.fastq.gz","609-KI23b_S310_L001_R2_001.fastq.gz","Pocillopora","grandis","2037",27,"run10_shedd2024","2023b","KI23b_609","SAMN49904278","VH1",2.00973,-157.48941,5,7276,"4_longafter"
"284-2019_S354_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",7135,8768,0.813754562043796,"284-2019_S354_L001_R1_001.fastq.gz","284-2019_S354_L001_R2_001.fastq.gz","Pocillopora","grandis","1389",31,"Starko_Shedd","2019","KI19_284","SAMN49904153","VH4",1.9921,-157.48289,5,5328.680152,"3_after"
"284-2019_S354_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",1633,8768,0.186245437956204,"284-2019_S354_L001_R1_001.fastq.gz","284-2019_S354_L001_R2_001.fastq.gz","Pocillopora","grandis","1389",31,"Starko_Shedd","2019","KI19_284","SAMN49904153","VH4",1.9921,-157.48289,5,5328.680152,"3_after"
"PLATE3B4_S218_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",25713,33850,0.759615952732644,"PLATE3B4_S218_L001_R1_001.fastq.gz","PLATE3B4_S218_L001_R2_001.fastq.gz","Pocillopora","grandis","739",32,"SheddRun_Dec2020","2015b","KI15b_217","SAMN49904103","VH2",1.984,-157.482,5,4860.745702,"1_before"
"PLATE3B4_S218_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",8137,33850,0.240384047267356,"PLATE3B4_S218_L001_R1_001.fastq.gz","PLATE3B4_S218_L001_R2_001.fastq.gz","Pocillopora","grandis","739",32,"SheddRun_Dec2020","2015b","KI15b_217","SAMN49904103","VH2",1.984,-157.482,5,4860.745702,"1_before"
"280_S279_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",16729,22385,0.747330801876256,"280_S279_L001_R1_001.fastq.gz","280_S279_L001_R2_001.fastq.gz","Pocillopora","grandis","135",30,"run2","2015b","KI15b_44","SAMN49903751","VH3",2.02572,-157.498,5,5085.684783,"1_before"
"280_S279_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",5656,22385,0.252669198123744,"280_S279_L001_R1_001.fastq.gz","280_S279_L001_R2_001.fastq.gz","Pocillopora","grandis","135",30,"run2","2015b","KI15b_44","SAMN49903751","VH3",2.02572,-157.498,5,5085.684783,"1_before"
"129_S129_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",13089,18893,0.692796273752183,"129_S129_L001_R1_001.fastq.gz","129_S129_L001_R2_001.fastq.gz","Pocillopora","grandis","43",27,"run2","2014","KI14_43","SAMN49903652","VH1",2.00973,-157.48941,5,7276,"1_before"
"129_S129_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",5804,18893,0.307203726247817,"129_S129_L001_R1_001.fastq.gz","129_S129_L001_R2_001.fastq.gz","Pocillopora","grandis","43",27,"run2","2014","KI14_43","SAMN49903652","VH1",2.00973,-157.48941,5,7276,"1_before"
"285_S284_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",52180,73006,0.714735775141769,"285_S284_L001_R1_001.fastq.gz","285_S284_L001_R2_001.fastq.gz","Pocillopora","grandis","145",30,"run2","2015b","KI15b_51","SAMN49903754","VH3",2.02572,-157.498,5,5085.684783,"1_before"
"285_S284_L001","D","D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av",20826,73006,0.285264224858231,"285_S284_L001_R1_001.fastq.gz","285_S284_L001_R2_001.fastq.gz","Pocillopora","grandis","145",30,"run2","2015b","KI15b_51","SAMN49903754","VH3",2.02572,-157.498,5,5085.684783,"1_before"
