coral_tag,max_colony_width,expedition
163,44.67,2015c
397,44.789,2014
362,44.811,2015c
1661,45.228,2023b
1851,45.272,2023b
1572,45.995,2023b
201,46.19,2015c
326,46.21,2014
586,46.735,2015c
1517,46.747,2023b
440,46.927,2015b
201,48.848,2014
803,49.464,2015c
391,49.686,2014
209,50.21,2014
440,50.524,2015c
132b,51.191,2015c
836,51.762,2015c
503,52.238,2014
331,53.895,2015c
336,54.716,2015c
843,55.826,2015c
193,56.193,2015c
1556,57.827,2023b
791,59.762,2015c
216,61.169,2014
1559,63.378,2023b
209,63.605,2015c
1609,63.757,2023b
413,64.951,2015c
359,70.585,2015c
106,NULL,2014
154,NULL,2017
163,NULL,2017
171,NULL,2017
174,NULL,2017
174b,NULL,2019
179,NULL,2017
215,NULL,2017
217,NULL,2019
228,NULL,2017
312,NULL,2017
378,NULL,2017
405,NULL,2014
405,NULL,2017
422,NULL,2017
469,NULL,2015c
660,NULL,2017
